,id,tool,precision,recall,F1
37,18,monovar,1.0,0.6166666666666667,0.7628865979381443
38,19,SCarborSNV,1.0,0.7131147540983607,0.8325358851674641
39,19,monovar,1.0,0.6557377049180327,0.7920792079207921
40,20,SCarborSNV,1.0,0.656,0.7922705314009661
41,20,monovar,1.0,0.64,0.7804878048780488
42,21,SCarborSNV,1.0,0.6581196581196581,0.7938144329896907
43,21,monovar,1.0,0.6068376068376068,0.7553191489361702
44,22,SCarborSNV,1.0,0.5316455696202531,0.6942148760330579
45,22,monovar,1.0,0.4810126582278481,0.6495726495726496
46,23,SCarborSNV,1.0,0.708029197080292,0.8290598290598291
47,23,monovar,1.0,0.6861313868613139,0.8138528138528138
48,24,SCarborSNV,1.0,0.6865671641791045,0.8141592920353983
49,24,monovar,1.0,0.6791044776119403,0.8088888888888889
50,25,SCarborSNV,0.6029411764705882,0.7735849056603774,0.6776859504132231
51,25,monovar,0.6029411764705882,0.7735849056603774,0.6776859504132231
52,26,SCarborSNV,1.0,0.6623376623376623,0.796875
53,26,monovar,1.0,0.6623376623376623,0.796875
54,27,SCarborSNV,1.0,0.768,0.8687782805429864
55,27,monovar,1.0,0.696,0.8207547169811321
56,28,SCarborSNV,1.0,0.7142857142857143,0.8333333333333334
57,28,monovar,1.0,0.6547619047619048,0.7913669064748201
58,29,SCarborSNV,1.0,0.6774193548387096,0.8076923076923077
59,29,monovar,1.0,0.6559139784946236,0.7922077922077922
60,30,SCarborSNV,0.746031746031746,0.7580645161290323,0.752
61,30,monovar,0.7419354838709677,0.7419354838709677,0.7419354838709677
62,31,SCarborSNV,1.0,0.6287878787878788,0.772093023255814
63,31,monovar,1.0,0.5984848484848485,0.7488151658767772
64,32,SCarborSNV,0.8472222222222222,0.7011494252873564,0.7672955974842768
65,32,monovar,0.8405797101449275,0.6666666666666666,0.7435897435897436
66,33,SCarborSNV,1.0,0.64,0.7804878048780488
67,33,monovar,1.0,0.592,0.7437185929648241
68,34,SCarborSNV,1.0,0.7251908396946565,0.8407079646017699
69,34,monovar,1.0,0.6793893129770993,0.8090909090909091
70,35,SCarborSNV,1.0,0.675,0.8059701492537313
71,35,monovar,1.0,0.625,0.7692307692307693
72,36,SCarborSNV,1.0,0.6428571428571429,0.782608695652174
73,36,monovar,1.0,0.6190476190476191,0.7647058823529411
74,37,SCarborSNV,1.0,0.6721311475409836,0.803921568627451
75,37,monovar,1.0,0.6475409836065574,0.7860696517412935
76,38,SCarborSNV,1.0,0.6917293233082706,0.8177777777777778
77,38,monovar,1.0,0.6541353383458647,0.7909090909090909
78,39,SCarborSNV,1.0,0.6142857142857143,0.7610619469026548
79,39,monovar,1.0,0.55,0.7096774193548387
80,40,SCarborSNV,0.6805555555555556,0.6805555555555556,0.6805555555555556
81,40,monovar,0.6666666666666666,0.6388888888888888,0.6524822695035462
82,41,SCarborSNV,1.0,0.6538461538461539,0.7906976744186046
83,41,monovar,1.0,0.5897435897435898,0.7419354838709677
84,42,SCarborSNV,1.0,0.6390977443609023,0.7798165137614679
