cand,post,precision,recall,F1
0.3,0.0,1.0,0.7254901960784313,0.8409090909090909
0.3,0.0,1.0,0.7428571428571429,0.8524590163934426
0.3,0.0,1.0,0.6973684210526315,0.8217054263565892
0.3,0.0,1.0,0.6916666666666667,0.8177339901477833
0.3,0.0,1.0,0.6571428571428571,0.7931034482758621
0.3,0.0,1.0,0.6186440677966102,0.7643979057591623
0.3,0.0,0.7164179104477612,0.6857142857142857,0.7007299270072993
0.3,0.0,0.9056603773584906,0.7164179104477612,0.8
0.3,0.0,1.0,0.717391304347826,0.8354430379746836
0.3,0.0,1.0,0.5811965811965812,0.7351351351351352
0.3,0.0,1.0,0.7448979591836735,0.8538011695906432
0.3,0.0,1.0,0.6666666666666666,0.8
0.3,0.0,1.0,0.7064220183486238,0.8279569892473119
0.3,0.0,1.0,0.7053571428571429,0.8272251308900523
0.3,0.0,1.0,0.6687898089171974,0.8015267175572519
0.3,0.0,1.0,0.6979166666666666,0.8220858895705522
0.3,0.0,1.0,0.5384615384615384,0.7
0.3,0.0,1.0,0.5569620253164557,0.7154471544715447
0.3,0.0,1.0,0.6304347826086957,0.7733333333333333
0.3,0.0,1.0,0.6296296296296297,0.7727272727272727
0.3,0.0,1.0,0.5909090909090909,0.7428571428571429
0.3,0.0,1.0,0.6377952755905512,0.7788461538461539
0.3,0.0,1.0,0.7226890756302521,0.8390243902439024
0.3,0.0,1.0,0.5833333333333334,0.7368421052631579
0.3,0.0,1.0,0.5234899328859061,0.6872246696035242
0.3,0.0,1.0,0.7348484848484849,0.8471615720524017
0.3,0.0,1.0,0.6124031007751938,0.7596153846153846
0.3,0.0,0.6868686868686869,0.68,0.6834170854271356
0.3,0.0,1.0,0.5806451612903226,0.7346938775510204
0.3,0.0,1.0,0.6717557251908397,0.8036529680365296
0.3,0.0,0.5,0.6885245901639344,0.5793103448275863
0.3,0.0,1.0,0.5666666666666667,0.723404255319149
0.3,0.0,1.0,0.711340206185567,0.8313253012048193
0.3,0.0,1.0,0.6724137931034483,0.8041237113402062
0.3,0.0,1.0,0.6777777777777778,0.8079470198675497
0.3,0.0,1.0,0.7131782945736435,0.832579185520362
0.3,0.0,0.6575342465753424,0.5853658536585366,0.6193548387096774
0.3,0.0,1.0,0.6448598130841121,0.7840909090909091
0.3,0.0,1.0,0.6870229007633588,0.8144796380090498
0.3,0.0,1.0,0.6575342465753424,0.7933884297520661
0.3,0.0,1.0,0.6126126126126126,0.7597765363128491
0.3,0.0,1.0,0.6881720430107527,0.8152866242038217
0.3,0.0,1.0,0.65,0.7878787878787878
0.3,0.0,1.0,0.6875,0.8148148148148148
0.3,0.0,1.0,0.6705882352941176,0.8028169014084507
0.3,0.0,1.0,0.6144578313253012,0.7611940298507462
0.3,0.0,1.0,0.7623762376237624,0.8651685393258427
0.3,0.0,0.4891304347826087,0.6164383561643836,0.5454545454545454
0.3,0.0,1.0,0.6141732283464567,0.7609756097560976
0.3,0.0,1.0,0.5960264900662252,0.7468879668049793
0.3,1e-09,1.0,0.5891472868217055,0.7414634146341463
0.3,1e-09,1.0,0.6190476190476191,0.7647058823529411
0.3,1e-09,1.0,0.6386554621848739,0.7794871794871795
0.3,1e-09,1.0,0.6451612903225806,0.7843137254901961
0.3,1e-09,1.0,0.6542056074766355,0.7909604519774012
0.3,1e-09,1.0,0.5827338129496403,0.7363636363636363
0.3,1e-09,1.0,0.5119047619047619,0.6771653543307087
0.3,1e-09,1.0,0.6714285714285714,0.8034188034188035
0.3,1e-09,1.0,0.5782312925170068,0.7327586206896551
0.3,1e-09,1.0,0.7142857142857143,0.8333333333333334
0.3,1e-09,1.0,0.6081081081081081,0.7563025210084033
0.3,1e-09,1.0,0.6104651162790697,0.7581227436823105
0.3,1e-09,1.0,0.6187050359712231,0.7644444444444445
0.3,1e-09,1.0,0.6846846846846847,0.8128342245989305
0.3,1e-09,1.0,0.6129032258064516,0.76
0.3,1e-09,1.0,0.625,0.7692307692307693
0.3,1e-09,1.0,0.616,0.7623762376237624
0.3,1e-09,1.0,0.6288659793814433,0.7721518987341772
0.3,1e-09,1.0,0.675,0.8059701492537313
0.3,1e-09,1.0,0.6170212765957447,0.7631578947368421
0.3,1e-09,1.0,0.6666666666666666,0.8
0.3,1e-09,1.0,0.6846846846846847,0.8128342245989305
0.3,1e-09,1.0,0.7051282051282052,0.8270676691729323
0.3,1e-09,1.0,0.6333333333333333,0.7755102040816326
0.3,1e-09,1.0,0.6530612244897959,0.7901234567901234
0.3,1e-09,0.37168141592920356,0.6885245901639344,0.4827586206896552
0.3,1e-09,1.0,0.5877192982456141,0.7403314917127072
0.3,1e-09,1.0,0.6050420168067226,0.7539267015706806
0.3,1e-09,1.0,0.6470588235294118,0.7857142857142857
0.3,1e-09,1.0,0.5480769230769231,0.7080745341614907
0.3,1e-09,1.0,0.6601941747572816,0.7953216374269005
0.3,1e-09,1.0,0.6560509554140127,0.7923076923076923
0.3,1e-09,1.0,0.6390977443609023,0.7798165137614679
0.3,1e-09,1.0,0.559322033898305,0.717391304347826
0.3,1e-09,1.0,0.6176470588235294,0.7636363636363637
0.3,1e-09,1.0,0.6237623762376238,0.7682926829268293
0.3,1e-09,1.0,0.5677966101694916,0.7243243243243244
0.3,1e-09,1.0,0.6530612244897959,0.7901234567901234
0.3,1e-09,1.0,0.693069306930693,0.8187134502923976
0.3,1e-09,0.34705882352941175,0.686046511627907,0.4609375
0.3,1e-09,1.0,0.5446428571428571,0.7052023121387283
0.3,1e-09,0.6526315789473685,0.6391752577319587,0.6458333333333334
0.3,1e-09,0.17613636363636365,0.5344827586206896,0.26495726495726496
0.3,1e-09,1.0,0.49074074074074076,0.6583850931677019
0.3,1e-09,1.0,0.6460674157303371,0.7849829351535836
0.3,1e-09,0.28,0.6511627906976745,0.3916083916083916
0.3,1e-09,1.0,0.5850340136054422,0.7381974248927039
0.3,1e-09,1.0,0.6195652173913043,0.7651006711409396
0.3,1e-09,0.44,0.6470588235294118,0.5238095238095238
0.3,1e-09,1.0,0.6050420168067226,0.7539267015706806
0.3,1e-06,1.0,0.6190476190476191,0.7647058823529411
0.3,1e-06,1.0,0.6140350877192983,0.7608695652173914
0.3,1e-06,1.0,0.5826771653543307,0.736318407960199
0.3,1e-06,1.0,0.6017699115044248,0.7513812154696132
0.3,1e-06,0.5057471264367817,0.5714285714285714,0.5365853658536586
0.3,1e-06,1.0,0.6043956043956044,0.7534246575342466
0.3,1e-06,1.0,0.6627906976744186,0.7972027972027972
0.3,1e-06,0.5670103092783505,0.5913978494623656,0.5789473684210527
0.3,1e-06,0.34710743801652894,0.6666666666666666,0.45652173913043476
0.3,1e-06,1.0,0.6721311475409836,0.803921568627451
0.3,1e-06,1.0,0.6776859504132231,0.8078817733990148
0.3,1e-06,1.0,0.7055837563451777,0.8273809523809523
0.3,1e-06,1.0,0.6689655172413793,0.8016528925619835
0.3,1e-06,1.0,0.6296296296296297,0.7727272727272727
0.3,1e-06,1.0,0.7142857142857143,0.8333333333333334
0.3,1e-06,1.0,0.6696035242290749,0.8021108179419525
0.3,1e-06,1.0,0.6194690265486725,0.7650273224043715
0.3,1e-06,1.0,0.6190476190476191,0.7647058823529411
0.3,1e-06,1.0,0.7068965517241379,0.8282828282828283
0.3,1e-06,1.0,0.697841726618705,0.8220338983050848
0.3,1e-06,0.4880952380952381,0.5466666666666666,0.5157232704402516
0.3,1e-06,1.0,0.6746031746031746,0.8056872037914692
0.3,1e-06,1.0,0.71875,0.8363636363636363
0.3,1e-06,1.0,0.7567567567567568,0.8615384615384616
0.3,1e-06,1.0,0.7169811320754716,0.8351648351648352
0.3,1e-06,0.6,0.7078651685393258,0.6494845360824743
0.3,1e-06,1.0,0.6635514018691588,0.797752808988764
0.3,1e-06,1.0,0.6695652173913044,0.8020833333333334
0.3,1e-06,1.0,0.6936936936936937,0.8191489361702128
0.3,1e-06,1.0,0.6666666666666666,0.8
0.3,1e-06,1.0,0.674074074074074,0.8053097345132744
0.3,1e-06,1.0,0.6311475409836066,0.7738693467336684
0.3,1e-06,1.0,0.6551724137931034,0.7916666666666666
0.3,1e-06,1.0,0.6741573033707865,0.8053691275167785
0.3,1e-06,1.0,0.5,0.6666666666666666
0.3,1e-06,1.0,0.6444444444444445,0.7837837837837838
0.3,1e-06,1.0,0.6821705426356589,0.8110599078341014
0.3,1e-06,0.375,0.6538461538461539,0.4766355140186916
0.3,1e-06,1.0,0.6637168141592921,0.7978723404255319
0.3,1e-06,1.0,0.6481481481481481,0.7865168539325843
0.3,1e-06,0.6818181818181818,0.646551724137931,0.6637168141592921
0.3,1e-06,1.0,0.5789473684210527,0.7333333333333333
0.3,1e-06,1.0,0.6666666666666666,0.8
0.3,1e-06,1.0,0.574468085106383,0.7297297297297297
0.3,1e-06,1.0,0.6470588235294118,0.7857142857142857
0.3,1e-06,1.0,0.6504854368932039,0.788235294117647
0.3,1e-06,0.5982142857142857,0.6979166666666666,0.6442307692307693
