cand,post,precision,recall,F1
0.6,0.0,1.0,0.9661399548532731,0.9827784156142365
0.6,0.0,1.0,0.943579766536965,0.970970970970971
0.6,0.0,0.9419568822553898,0.9372937293729373,0.9396195202646815
0.6,0.0,0.9898305084745763,0.9358974358974359,0.9621087314662273
0.6,0.0,0.8511326860841424,0.8737541528239202,0.8622950819672132
0.6,0.0,0.8918918918918919,0.9217877094972067,0.9065934065934066
0.6,0.0,0.9375,0.8869565217391304,0.9115281501340483
0.6,0.0,0.9406130268199234,0.872113676731794,0.9050691244239631
0.6,0.0,0.8710280373831776,0.9608247422680413,0.9137254901960784
0.6,0.0,0.9313131313131313,0.9092702169625246,0.9201596806387226
0.6,0.0,0.8814229249011858,0.9214876033057852,0.901010101010101
0.6,0.0,0.8405797101449275,0.9206349206349206,0.8787878787878788
0.6,0.0,0.8772378516624041,0.9423076923076923,0.9086092715231788
0.6,0.0,0.9414316702819957,0.9601769911504425,0.9507119386637459
0.6,0.0,0.8956521739130435,0.9035087719298246,0.8995633187772926
0.6,0.0,0.9770114942528736,0.9807692307692307,0.9788867562380038
0.6,0.0,0.8566308243727598,0.9446640316205533,0.8984962406015038
0.6,0.0,0.8152753108348135,0.95625,0.8801534036433365
0.6,0.0,0.8439897698209718,0.9322033898305084,0.8859060402684564
0.6,0.0,0.7853658536585366,0.9817073170731707,0.8726287262872628
0.6,0.0,0.9684931506849315,0.9632152588555858,0.9658469945355191
0.6,0.0,0.8128654970760234,0.9174917491749175,0.862015503875969
0.6,0.0,0.693950177935943,0.9307875894988067,0.7951070336391437
0.6,0.0,0.919175911251981,0.9780775716694773,0.9477124183006536
0.6,0.0,0.8774002954209749,0.9690048939641109,0.9209302325581395
0.6,0.0,0.8249158249158249,0.9496124031007752,0.8828828828828829
0.6,0.0,0.8410852713178295,0.9774774774774775,0.9041666666666667
0.6,0.0,0.784,0.9702970297029703,0.8672566371681416
0.6,0.0,0.8545706371191135,0.9670846394984326,0.9073529411764706
0.6,0.0,0.9147727272727273,0.9669669669669669,0.9401459854014599
0.6,0.0,0.856,0.9264069264069265,0.8898128898128899
0.6,0.0,0.8637274549098196,0.9795454545454545,0.9179978700745474
0.6,0.0,0.955,0.9794871794871794,0.9670886075949368
0.6,0.0,0.846875,0.9508771929824561,0.8958677685950414
0.6,0.0,0.6323319027181689,0.9629629629629629,0.7633851468048359
0.6,0.0,0.8984771573604061,0.9860724233983287,0.9402390438247012
0.6,0.0,0.9146341463414634,0.982532751091703,0.9473684210526315
0.6,0.0,0.8679245283018868,0.9857142857142858,0.9230769230769231
0.6,0.0,0.628133704735376,0.9698924731182795,0.7624683009298394
0.6,0.0,0.91796875,0.8918406072106262,0.904716073147257
0.6,0.0,0.9447115384615384,0.9776119402985075,0.960880195599022
0.6,0.0,0.839527027027027,0.980276134122288,0.9044585987261147
0.6,0.0,0.9118329466357309,0.9974619289340102,0.9527272727272728
0.6,0.0,0.6148760330578512,0.9763779527559056,0.7545638945233266
0.6,0.0,0.8665338645418327,0.9841628959276018,0.9216101694915254
0.6,0.0,0.91415313225058,0.9825436408977556,0.9471153846153846
0.6,0.0,0.9433333333333334,0.9826388888888888,0.9625850340136054
0.6,0.0,0.8754578754578755,0.9409448818897638,0.9070208728652751
0.6,0.0,0.9222462203023758,0.9726651480637813,0.9467849223946785
0.6,0.0,0.8877400295420975,0.9554848966613673,0.9203675344563553
0.6,0.0,0.4811320754716981,1.0,0.6496815286624203
0.6,0.0,0.9116809116809117,0.975609756097561,0.9425625920471281
0.6,0.0,0.3975694444444444,0.9956521739130435,0.5682382133995038
0.6,0.0,0.928462709284627,0.9902597402597403,0.9583660644147682
0.6,0.0,0.9436619718309859,0.9571428571428572,0.950354609929078
0.6,0.0,0.8725314183123878,0.9798387096774194,0.9230769230769231
0.6,0.0,0.415929203539823,0.951417004048583,0.5788177339901478
0.6,0.0,0.8717948717948718,0.9878934624697336,0.9262202043132803
0.6,0.0,0.8726415094339622,0.9919571045576407,0.9284818067754078
0.6,0.0,0.9532019704433498,0.9974226804123711,0.9748110831234257
0.6,0.0,0.8472222222222222,0.9856373429084381,0.9112033195020747
0.6,0.0,0.91,0.9927272727272727,0.9495652173913044
