cand,post,precision,recall,F1
0.0,0.3,1.0,0.9387755102040817,0.968421052631579
0.0,0.3,0.7096774193548387,0.88,0.7857142857142857
0.0,0.3,0.9714285714285714,0.8,0.8774193548387097
0.0,0.3,1.0,0.9807692307692307,0.9902912621359223
0.0,0.3,1.0,0.8674698795180723,0.9290322580645162
0.0,0.3,0.7647058823529411,0.9069767441860465,0.8297872340425532
0.0,0.3,0.6862745098039216,0.8974358974358975,0.7777777777777778
0.0,0.3,1.0,0.7924528301886793,0.8842105263157894
0.0,0.3,1.0,0.7222222222222222,0.8387096774193549
0.0,0.3,0.72,0.8181818181818182,0.7659574468085106
0.0,0.4,0.45161290322580644,0.8235294117647058,0.5833333333333334
0.0,0.4,0.7887323943661971,0.7887323943661971,0.7887323943661971
0.0,0.4,0.5072463768115942,0.8333333333333334,0.6306306306306306
0.0,0.4,0.5454545454545454,0.875,0.672
0.0,0.4,1.0,0.7317073170731707,0.8450704225352113
0.0,0.4,0.7027027027027027,0.8387096774193549,0.7647058823529411
0.0,0.4,1.0,0.7703703703703704,0.8702928870292888
0.0,0.4,0.4,0.7692307692307693,0.5263157894736842
0.0,0.4,0.7272727272727273,0.8533333333333334,0.7852760736196319
0.0,0.4,1.0,0.75,0.8571428571428571
0.0,0.5,0.4935064935064935,0.7169811320754716,0.5846153846153846
0.0,0.5,0.6702127659574468,0.7241379310344828,0.6961325966850829
0.0,0.5,1.0,0.8135593220338984,0.897196261682243
0.0,0.5,0.5405405405405406,0.6779661016949152,0.6015037593984962
0.0,0.5,0.28,0.6666666666666666,0.39436619718309857
0.0,0.5,1.0,0.6881720430107527,0.8152866242038217
0.0,0.5,0.5147058823529411,0.6730769230769231,0.5833333333333334
0.0,0.5,0.30851063829787234,0.6744186046511628,0.4233576642335766
0.0,0.5,0.3037974683544304,0.6153846153846154,0.4067796610169492
0.0,0.5,1.0,0.68,0.8095238095238095
0.0,0.6,1.0,0.6142857142857143,0.7610619469026548
0.0,0.6,1.0,0.6666666666666666,0.8
0.0,0.6,1.0,0.6065573770491803,0.7551020408163265
0.0,0.6,0.373134328358209,0.5952380952380952,0.45871559633027525
0.0,0.6,0.2185430463576159,0.6346153846153846,0.3251231527093596
0.0,0.6,0.24107142857142858,0.627906976744186,0.34838709677419355
0.0,0.6,0.47761194029850745,0.6153846153846154,0.5378151260504201
0.0,0.6,0.4444444444444444,0.6557377049180327,0.5298013245033113
0.0,0.6,1.0,0.6857142857142857,0.8135593220338984
0.0,0.6,1.0,0.6590909090909091,0.7945205479452054
0.0,0.7,1.0,0.6721311475409836,0.803921568627451
0.0,0.7,0.7474747474747475,0.6851851851851852,0.714975845410628
0.0,0.7,1.0,0.65,0.7878787878787878
0.0,0.7,1.0,0.5964912280701754,0.7472527472527473
0.0,0.7,1.0,0.6888888888888889,0.8157894736842105
0.0,0.7,0.4246575342465753,0.6739130434782609,0.5210084033613446
0.0,0.7,0.3614457831325301,0.625,0.4580152671755725
0.0,0.7,1.0,0.6021505376344086,0.7516778523489933
0.0,0.7,1.0,0.5106382978723404,0.676056338028169
0.0,0.7,1.0,0.625,0.7692307692307693
0.0,0.9,1.0,0.5714285714285714,0.7272727272727273
0.0,0.9,1.0,0.4852941176470588,0.6534653465346535
0.0,0.9,0.5909090909090909,0.5531914893617021,0.5714285714285714
0.0,0.9,0.47058823529411764,0.4897959183673469,0.48
0.0,0.9,1.0,0.6379310344827587,0.7789473684210526
0.0,0.9,0.3108108108108108,0.6388888888888888,0.41818181818181815
0.0,0.9,0.37037037037037035,0.6521739130434783,0.47244094488188976
0.0,0.9,0.3368421052631579,0.5245901639344263,0.41025641025641024
0.0,0.9,0.7051282051282052,0.6875,0.6962025316455697
0.0,0.9,1.0,0.6060606060606061,0.7547169811320755
1e-09,0.3,0.09090909090909091,0.68,0.16037735849056603
1e-09,0.3,0.5,0.6545454545454545,0.5669291338582677
1e-09,0.3,1.0,0.5591397849462365,0.7172413793103448
1e-09,0.3,0.367816091954023,0.5925925925925926,0.45390070921985815
1e-09,0.3,0.2736842105263158,0.6842105263157895,0.39097744360902253
1e-09,0.3,1.0,0.6229508196721312,0.7676767676767676
1e-09,0.3,1.0,0.6964285714285714,0.8210526315789474
1e-09,0.3,0.25806451612903225,0.6666666666666666,0.37209302325581395
1e-09,0.3,0.1826086956521739,0.5526315789473685,0.27450980392156865
1e-09,0.3,0.6349206349206349,0.625,0.6299212598425197
1e-09,0.4,1.0,0.6116504854368932,0.7590361445783133
1e-09,0.4,1.0,0.5694444444444444,0.7256637168141593
1e-09,0.4,1.0,0.5411764705882353,0.7022900763358778
1e-09,0.4,0.224,0.5714285714285714,0.3218390804597701
1e-09,0.4,0.4696969696969697,0.5,0.484375
1e-09,0.4,0.2375,0.59375,0.3392857142857143
1e-09,0.4,0.1619047619047619,0.5,0.2446043165467626
1e-09,0.4,0.38181818181818183,0.525,0.4421052631578947
1e-09,0.4,0.29333333333333333,0.5365853658536586,0.3793103448275862
1e-09,0.4,1.0,0.6629213483146067,0.7972972972972973
1e-09,0.5,0.2727272727272727,0.6585365853658537,0.38571428571428573
1e-09,0.5,1.0,0.7578947368421053,0.8622754491017964
1e-09,0.5,0.3333333333333333,0.6206896551724138,0.43373493975903615
1e-09,0.5,0.18796992481203006,0.5555555555555556,0.2808988764044944
1e-09,0.5,0.16111111111111112,0.8285714285714286,0.26976744186046514
1e-09,0.5,1.0,0.5227272727272727,0.6865671641791045
1e-09,0.5,0.32727272727272727,0.5625,0.41379310344827586
