i,Phylo,Precision,Recall,F1
18,N,0.993103448275862,0.8674698795180723,0.9260450160771704
19,Y,0.8865096359743041,0.8518518518518519,0.8688352570828961
19,N,0.9922680412371134,0.7921810699588477,0.8810068649885584
20,Y,0.8686274509803922,0.9465811965811965,0.9059304703476483
20,N,0.9903147699757869,0.8739316239316239,0.9284903518728718
21,Y,0.5555555555555556,0.9603658536585366,0.7039106145251397
21,N,0.6008064516129032,0.9085365853658537,0.7233009708737864
22,Y,0.3727544910179641,0.9325842696629213,0.532620320855615
22,N,0.3761904761904762,0.8876404494382022,0.5284280936454849
23,Y,0.8218487394957983,0.9296577946768061,0.872435325602141
23,N,0.9848484848484849,0.8650190114068441,0.9210526315789473
24,Y,0.9090909090909091,0.9541984732824428,0.931098696461825
24,N,0.9958333333333333,0.9122137404580153,0.952191235059761
25,Y,0.878099173553719,0.9299781181619255,0.9032943676939427
25,N,0.9854368932038835,0.888402625820569,0.9344073647871116
26,Y,0.5652173913043478,0.9617346938775511,0.7119924457034938
26,N,0.5996533795493935,0.8826530612244898,0.7141382868937048
27,Y,0.9292604501607717,0.9633333333333334,0.9459901800327333
27,N,0.9892086330935251,0.9166666666666666,0.9515570934256056
28,Y,0.9122807017543859,0.9162995594713657,0.9142857142857143
28,N,0.9975369458128078,0.8920704845814978,0.9418604651162791
29,Y,0.8742857142857143,0.9107142857142857,0.892128279883382
29,N,0.9607843137254902,0.875,0.9158878504672897
30,Y,0.9225181598062954,0.9407407407407408,0.9315403422982885
30,N,1.0,0.9037037037037037,0.9494163424124513
31,Y,0.9035250463821892,0.9383429672447013,0.9206049149338374
31,N,0.99581589958159,0.9171483622350675,0.954864593781344
32,Y,0.9239766081871345,0.9404761904761905,0.9321533923303835
32,N,0.9966216216216216,0.8779761904761905,0.9335443037974683
33,Y,0.8524096385542169,0.9658703071672355,0.9056
33,N,0.9890510948905109,0.9249146757679181,0.9559082892416225
34,Y,0.9012345679012346,0.948051948051948,0.9240506329113924
34,N,0.9830508474576272,0.9038961038961039,0.9418132611637348
35,Y,0.8983666061705989,0.8855098389982111,0.8918918918918919
35,N,0.9810526315789474,0.8336314847942755,0.9013539651837524
36,Y,0.9516539440203562,0.9639175257731959,0.9577464788732394
36,N,0.9835616438356164,0.9252577319587629,0.953519256308101
37,Y,0.8755980861244019,0.9606299212598425,0.9161451814768461
37,N,0.9971264367816092,0.910761154855643,0.9519890260631001
38,Y,0.8512396694214877,0.9772296015180265,0.9098939929328622
38,N,0.9625246548323472,0.9259962049335864,0.9439071566731141
39,Y,0.9772727272727273,0.9717514124293786,0.9745042492917847
39,N,0.9969135802469136,0.9124293785310734,0.9528023598820059
40,Y,0.8507462686567164,0.957983193277311,0.9011857707509882
40,N,0.9772727272727273,0.9033613445378151,0.9388646288209607
41,Y,0.8464491362763915,0.9713656387665198,0.9046153846153846
41,N,0.9812206572769953,0.920704845814978,0.95
42,Y,0.9415094339622642,0.943289224952741,0.9423984891406988
42,N,0.989517819706499,0.8922495274102079,0.9383697813121272
43,Y,0.89501312335958,0.9742857142857143,0.93296853625171
43,N,0.990990990990991,0.9428571428571428,0.9663250366032211
44,Y,0.4342403628117914,0.982051282051282,0.6022012578616353
44,N,0.4351961950059453,0.9384615384615385,0.59463850528026
45,Y,0.8377926421404682,0.9616122840690979,0.8954423592493298
45,N,0.9518072289156626,0.9097888675623801,0.930323846908734
46,Y,0.5279878971255674,0.953551912568306,0.6796494644595911
46,N,0.5960502692998204,0.907103825136612,0.7193932827735645
47,Y,0.18571428571428572,0.9801587301587301,0.3122629582806574
47,N,0.200339558573854,0.9365079365079365,0.3300699300699301
48,Y,0.9548532731376975,0.9635535307517085,0.9591836734693877
48,N,0.9927184466019418,0.9316628701594533,0.9612220916568742
49,Y,0.8716904276985743,0.9427312775330396,0.9058201058201059
49,N,0.9879227053140096,0.9008810572687225,0.9423963133640553
