,id,tool,precision,recall,F1
31,15,monovar,0.9973544973544973,0.790356394129979,0.8818713450292398
32,16,SCarborSNV,0.8860759493670886,0.9180327868852459,0.9017713365539453
33,16,monovar,1.0,0.7901639344262295,0.8827838827838828
34,17,SCarborSNV,0.9299065420560748,0.9170506912442397,0.9234338747099768
35,17,monovar,0.9946380697050938,0.8548387096774194,0.919454770755886
36,18,SCarborSNV,0.8812877263581489,0.9379014989293362,0.9087136929460581
37,18,monovar,0.9974747474747475,0.8458244111349036,0.9154113557358053
38,19,SCarborSNV,0.8827708703374778,0.9324577861163227,0.906934306569343
39,19,monovar,1.0,0.7954971857410882,0.8861024033437827
40,20,SCarborSNV,0.8864468864468864,0.911487758945386,0.8987929433611885
41,20,monovar,0.9977272727272727,0.8267419962335216,0.9042224510813595
42,21,SCarborSNV,0.930327868852459,0.9284253578732107,0.9293756397134084
43,21,monovar,0.9951338199513382,0.83640081799591,0.9088888888888889
44,22,SCarborSNV,0.9930795847750865,0.896875,0.9425287356321839
45,22,monovar,0.9959677419354839,0.771875,0.8697183098591549
46,23,SCarborSNV,0.9242174629324547,0.9524617996604414,0.9381270903010034
47,23,monovar,1.0,0.8438030560271647,0.9152854511970534
48,24,SCarborSNV,0.8862973760932945,0.9455676516329704,0.9149736644093304
49,24,monovar,0.9946714031971581,0.8709175738724728,0.9286898839137645
50,25,SCarborSNV,0.4788732394366197,0.951048951048951,0.6370023419203747
51,25,monovar,0.5381263616557734,0.8636363636363636,0.6630872483221476
52,26,SCarborSNV,0.9144254278728606,0.9920424403183024,0.9516539440203562
53,26,monovar,1.0,0.8355437665782494,0.9104046242774566
54,27,SCarborSNV,0.9166666666666666,0.9821428571428571,0.9482758620689655
55,27,monovar,0.9912854030501089,0.9027777777777778,0.944963655244029
56,28,SCarborSNV,0.8282608695652174,0.9525,0.8860465116279069
57,28,monovar,1.0,0.8275,0.905608755129959
58,29,SCarborSNV,0.898876404494382,0.9732360097323601,0.9345794392523364
59,29,monovar,0.9973333333333333,0.9099756690997567,0.9516539440203562
60,30,SCarborSNV,0.5589285714285714,0.990506329113924,0.7146118721461188
61,30,monovar,0.6611764705882353,0.8892405063291139,0.7584345479082322
62,31,SCarborSNV,0.8756660746003553,0.962890625,0.9172093023255814
63,31,monovar,0.9886877828054299,0.853515625,0.9161425576519916
64,32,SCarborSNV,0.7315689981096408,0.8958333333333334,0.8054110301768991
65,32,monovar,0.7442922374429224,0.7546296296296297,0.7494252873563219
66,33,SCarborSNV,0.9141323792486583,0.9533582089552238,0.9333333333333333
67,33,monovar,1.0,0.8134328358208955,0.897119341563786
68,34,SCarborSNV,0.9597222222222223,0.9801418439716312,0.9698245614035088
69,34,monovar,0.9967373572593801,0.8666666666666667,0.9271623672230652
70,35,SCarborSNV,0.9533011272141707,0.988313856427379,0.9704918032786886
71,35,monovar,0.9921259842519685,0.8414023372287145,0.9105691056910569
72,36,SCarborSNV,0.9043062200956937,0.9642857142857143,0.9333333333333333
73,36,monovar,0.9882352941176471,0.8571428571428571,0.9180327868852459
74,37,SCarborSNV,0.8745704467353952,0.9621928166351607,0.9162916291629163
75,37,monovar,0.9850107066381156,0.8695652173913043,0.9236947791164659
76,38,SCarborSNV,0.8776167471819646,0.9544658493870403,0.9144295302013423
77,38,monovar,0.9958932238193019,0.8493870402802102,0.9168241965973535
78,39,SCarborSNV,0.8123953098827471,0.9603960396039604,0.8802177858439202
79,39,monovar,0.993006993006993,0.8435643564356435,0.9122055674518201
80,40,SCarborSNV,0.5206349206349207,0.9791044776119403,0.6797927461139897
81,40,monovar,0.5643939393939394,0.8895522388059701,0.6906141367323291
82,41,SCarborSNV,0.9289940828402367,0.9457831325301205,0.9373134328358209
83,41,monovar,0.9892857142857143,0.8343373493975904,0.9052287581699346
84,42,SCarborSNV,0.923728813559322,0.9461805555555556,0.934819897084048
85,42,monovar,0.9956709956709957,0.7986111111111112,0.8863198458574181
86,43,SCarborSNV,0.9136363636363637,0.937791601866252,0.9255564082885649
87,43,monovar,0.9961612284069098,0.807153965785381,0.8917525773195877
88,44,SCarborSNV,0.8858381502890174,0.9668769716088328,0.9245852187028658
89,44,monovar,1.0,0.8280757097791798,0.90595340811044
90,45,SCarborSNV,0.9505119453924915,0.9720767888307156,0.9611734253666955
91,45,monovar,1.0,0.8219895287958116,0.9022988505747126
92,46,SCarborSNV,0.9123076923076923,0.9705400981996727,0.9405233941316415
93,46,monovar,0.9909584086799277,0.8968903436988543,0.9415807560137457
94,47,SCarborSNV,0.9265734265734266,0.9742647058823529,0.9498207885304659
95,47,monovar,0.9956709956709957,0.8455882352941176,0.9145129224652088
96,48,SCarborSNV,0.3418803418803419,0.975609756097561,0.5063291139240507
97,48,monovar,0.3389830508474576,0.8943089430894309,0.49162011173184356
98,49,SCarborSNV,0.945,0.9692307692307692,0.9569620253164557
99,49,monovar,0.9969788519637462,0.8461538461538461,0.9153952843273232
100,50,SCarborSNV,0.8537549407114624,0.9473684210526315,0.8981288981288982
101,50,monovar,0.9971509971509972,0.7675438596491229,0.8674101610904585
102,51,SCarborSNV,0.8363338788870703,0.9826923076923076,0.9036251105216623
103,51,monovar,0.9870410367170627,0.8788461538461538,0.9298067141403866
104,52,SCarborSNV,0.8372093023255814,0.975609756097561,0.9011264080100125
105,52,monovar,0.9938271604938271,0.8726287262872628,0.9292929292929293
106,53,SCarborSNV,0.933933933933934,0.9841772151898734,0.9583975346687211
